hidden_size,activation,optimizer,batch_size,regularization,epochs,learning_rate,loss,best_f1
4,relu,adam,4,0.0001,5,0.001,mse,66.66666666666666
4,relu,adam,4,0.0001,5,0.001,hinge,0.0
4,relu,adam,4,0.0001,5,0.001,log,
4,relu,adam,4,0.0001,5,0.001,focal,
4,relu,adam,4,0.0001,5,0.01,mse,81.48148148148148
4,relu,adam,4,0.0001,5,0.01,hinge,0.0
4,relu,adam,4,0.0001,5,0.01,log,
4,relu,adam,4,0.0001,5,0.01,focal,
4,relu,adam,4,0.0001,5,0.1,mse,72.22222222222221
4,relu,adam,4,0.0001,5,0.1,hinge,0.0
4,relu,adam,4,0.0001,5,0.1,log,
4,relu,adam,4,0.0001,5,0.1,focal,
4,relu,adam,4,0.0001,10,0.001,mse,72.22222222222221
4,relu,adam,4,0.0001,10,0.001,hinge,43.47826086956522
4,relu,adam,4,0.0001,10,0.001,log,
4,relu,adam,4,0.0001,10,0.001,focal,
4,relu,adam,4,0.0001,10,0.01,mse,86.66666666666667
4,relu,adam,4,0.0001,10,0.01,hinge,0.0
4,relu,adam,4,0.0001,10,0.01,log,
4,relu,adam,4,0.0001,10,0.01,focal,
4,relu,adam,4,0.0001,10,0.1,mse,72.72727272727273
4,relu,adam,4,0.0001,10,0.1,hinge,0.0
4,relu,adam,4,0.0001,10,0.1,log,
4,relu,adam,4,0.0001,10,0.1,focal,
4,relu,adam,4,0.0001,20,0.001,mse,81.48148148148148
4,relu,adam,4,0.0001,20,0.001,hinge,72.22222222222221
4,relu,adam,4,0.0001,20,0.001,log,
4,relu,adam,4,0.0001,20,0.001,focal,
4,relu,adam,4,0.0001,20,0.01,mse,89.65517241379311
4,relu,adam,4,0.0001,20,0.01,hinge,0.0
4,relu,adam,4,0.0001,20,0.01,log,
4,relu,adam,4,0.0001,20,0.01,focal,
4,relu,adam,4,0.0001,20,0.1,mse,72.22222222222221
4,relu,adam,4,0.0001,20,0.1,hinge,0.0
4,relu,adam,4,0.0001,20,0.1,log,
4,relu,adam,4,0.0001,20,0.1,focal,
4,relu,adam,4,0.0001,30,0.001,mse,84.61538461538461
4,relu,adam,4,0.0001,30,0.001,hinge,14.285714285714285
4,relu,adam,4,0.0001,30,0.001,log,
4,relu,adam,4,0.0001,30,0.001,focal,
4,relu,adam,4,0.0001,30,0.01,mse,92.85714285714286
4,relu,adam,4,0.0001,30,0.01,hinge,0.0
4,relu,adam,4,0.0001,30,0.01,log,
4,relu,adam,4,0.0001,30,0.01,focal,
4,relu,adam,4,0.0001,30,0.1,mse,72.22222222222221
4,relu,adam,4,0.0001,30,0.1,hinge,0.0
4,relu,adam,4,0.0001,30,0.1,log,
4,relu,adam,4,0.0001,30,0.1,focal,
4,relu,adam,4,0.0001,50,0.001,mse,81.48148148148148
4,relu,adam,4,0.0001,50,0.001,hinge,72.22222222222221
4,relu,adam,4,0.0001,50,0.001,log,
4,relu,adam,4,0.0001,50,0.001,focal,
4,relu,adam,4,0.0001,50,0.01,mse,89.65517241379311
4,relu,adam,4,0.0001,50,0.01,hinge,0.0
4,relu,adam,4,0.0001,50,0.01,log,
4,relu,adam,4,0.0001,50,0.01,focal,
4,relu,adam,4,0.0001,50,0.1,mse,72.22222222222221
4,relu,adam,4,0.0001,50,0.1,hinge,0.0
4,relu,adam,4,0.0001,50,0.1,log,
4,relu,adam,4,0.0001,50,0.1,focal,
4,relu,adam,4,0.0001,80,0.001,mse,86.66666666666667
4,relu,adam,4,0.0001,80,0.001,hinge,0.0
4,relu,adam,4,0.0001,80,0.001,log,
4,relu,adam,4,0.0001,80,0.001,focal,
4,relu,adam,4,0.0001,80,0.01,mse,89.65517241379311
4,relu,adam,4,0.0001,80,0.01,hinge,0.0
4,relu,adam,4,0.0001,80,0.01,log,
4,relu,adam,4,0.0001,80,0.01,focal,
4,relu,adam,4,0.0001,80,0.1,mse,72.22222222222221
4,relu,adam,4,0.0001,80,0.1,hinge,0.0
4,relu,adam,4,0.0001,80,0.1,log,
4,relu,adam,4,0.0001,80,0.1,focal,
4,relu,adam,4,0.0001,100,0.001,mse,85.71428571428571
4,relu,adam,4,0.0001,100,0.001,hinge,72.22222222222221
4,relu,adam,4,0.0001,100,0.001,log,
4,relu,adam,4,0.0001,100,0.001,focal,
4,relu,adam,4,0.0001,100,0.01,mse,89.65517241379311
4,relu,adam,4,0.0001,100,0.01,hinge,0.0
4,relu,adam,4,0.0001,100,0.01,log,
4,relu,adam,4,0.0001,100,0.01,focal,
4,relu,adam,4,0.0001,100,0.1,mse,74.28571428571429
4,relu,adam,4,0.0001,100,0.1,hinge,0.0
4,relu,adam,4,0.0001,100,0.1,log,
4,relu,adam,4,0.0001,100,0.1,focal,
4,relu,adam,4,0.001,5,0.001,mse,0.0
4,relu,adam,4,0.001,5,0.001,hinge,72.22222222222221
4,relu,adam,4,0.001,5,0.001,log,
4,relu,adam,4,0.001,5,0.001,focal,
4,relu,adam,4,0.001,5,0.01,mse,81.48148148148148
4,relu,adam,4,0.001,5,0.01,hinge,0.0
4,relu,adam,4,0.001,5,0.01,log,
4,relu,adam,4,0.001,5,0.01,focal,
4,relu,adam,4,0.001,5,0.1,mse,72.22222222222221
4,relu,adam,4,0.001,5,0.1,hinge,0.0
4,relu,adam,4,0.001,5,0.1,log,
4,relu,adam,4,0.001,5,0.1,focal,
4,relu,adam,4,0.001,10,0.001,mse,72.22222222222221
4,relu,adam,4,0.001,10,0.001,hinge,57.14285714285714
4,relu,adam,4,0.001,10,0.001,log,
4,relu,adam,4,0.001,10,0.001,focal,
4,relu,adam,4,0.001,10,0.01,mse,83.87096774193549
4,relu,adam,4,0.001,10,0.01,hinge,0.0
4,relu,adam,4,0.001,10,0.01,log,
4,relu,adam,4,0.001,10,0.01,focal,
4,relu,adam,4,0.001,10,0.1,mse,78.57142857142857
4,relu,adam,4,0.001,10,0.1,hinge,0.0
4,relu,adam,4,0.001,10,0.1,log,
4,relu,adam,4,0.001,10,0.1,focal,
4,relu,adam,4,0.001,20,0.001,mse,86.66666666666667
